2022-05-22  - 2022-05-30,"69,712 mWh","75,998 mWh"
2022-05-30  - 2022-06-05,"69,712 mWh","75,998 mWh"
2022-06-05  - 2022-06-12,"68,600 mWh","75,998 mWh"
2022-06-12  - 2022-06-20,"68,160 mWh","75,998 mWh"
2022-06-20  - 2022-06-27,"67,290 mWh","75,998 mWh"
2022-06-27  - 2022-07-03,"67,290 mWh","75,998 mWh"
2022-07-03  - 2022-07-10,"67,306 mWh","75,998 mWh"
2022-07-10  - 2022-07-17,"67,401 mWh","75,998 mWh"
2022-07-17  - 2022-07-24,"67,401 mWh","75,998 mWh"
2022-07-24  - 2022-07-31,"67,632 mWh","75,998 mWh"
2022-07-31  - 2022-08-07,"67,356 mWh","75,998 mWh"
2022-08-07  - 2022-08-14,"67,401 mWh","75,998 mWh"
2022-08-14  - 2022-08-21,"67,401 mWh","75,998 mWh"
2022-08-21  - 2022-08-28,"67,401 mWh","75,998 mWh"
2022-08-28  - 2022-09-04,"67,401 mWh","75,998 mWh"
2022-09-04  - 2022-09-11,"67,401 mWh","75,998 mWh"
2022-09-11  - 2022-09-18,"67,401 mWh","75,998 mWh"
2022-09-18  - 2022-09-25,"67,401 mWh","75,998 mWh"
2022-09-25  - 2022-10-02,"67,401 mWh","75,998 mWh"
2022-10-02  - 2022-10-09,"67,401 mWh","75,998 mWh"
2022-10-09  - 2022-10-16,"67,401 mWh","75,998 mWh"
2022-10-16  - 2022-10-23,"65,773 mWh","75,998 mWh"
2022-10-23  - 2022-10-30,"53,832 mWh","75,998 mWh"
2022-10-30  - 2022-11-06,"53,832 mWh","75,998 mWh"
2022-11-06  - 2022-11-13,"46,910 mWh","75,998 mWh"
2022-11-13  - 2022-11-20,"27,201 mWh","75,998 mWh"
2022-11-20  - 2022-11-27,"27,201 mWh","75,998 mWh"
2022-11-27  - 2022-12-04,"27,201 mWh","75,998 mWh"
2022-12-04  - 2022-12-11,"36,530 mWh","75,998 mWh"
2022-12-11  - 2022-12-18,"61,938 mWh","75,998 mWh"
2022-12-18  - 2022-12-25,"61,938 mWh","75,998 mWh"
2022-12-25  - 2023-01-01,"61,938 mWh","75,998 mWh"
2023-01-01  - 2023-01-09,"61,938 mWh","75,998 mWh"
2023-01-09  - 2023-01-15,"61,938 mWh","75,998 mWh"
2023-01-15  - 2023-01-22,"61,938 mWh","75,998 mWh"
2023-01-22  - 2023-01-29,"53,813 mWh","75,998 mWh"
2023-01-29  - 2023-02-05,"37,207 mWh","75,998 mWh"
2023-02-05  - 2023-02-12,"37,207 mWh","75,998 mWh"
2023-02-12  - 2023-02-19,"37,207 mWh","75,998 mWh"
2023-02-19  - 2023-02-26,"48,513 mWh","75,998 mWh"
2023-02-26  - 2023-03-05,"37,207 mWh","75,998 mWh"
2023-03-05  - 2023-03-12,"37,207 mWh","75,998 mWh"
